title,year,rank_in_year,macro_categoria,animation_studios
Popolocrois,2003,79,Fantasía / Acción / Aventura,"Tokyo Movie Shinsha, TMS Entertainment"
CROKET!,2003,80,Fantasía / Acción / Aventura,OLM
Crush Gear Nitro,2003,81,Otros Géneros,Sunrise
Papuwa,2003,82,Fantasía / Acción / Aventura,Nippon Animation
FIRESTORM,2003,83,Híbrido (Acción + Sci-Fi),Trans Arts
Jikuu Boukenki Zentrix,2003,84,Híbrido (Acción + Sci-Fi),Unknown
Bouken Yuuki Pluster World,2003,85,Híbrido (Acción + Sci-Fi),"Brain's Base, Actas"
Kasumin 3rd Series,2003,86,Fantasía / Acción / Aventura,OLM
Midnight Horror School,2003,87,Otros Géneros,Unknown
Omoikkiri Kagaku Adventure Sou Nanda!,2003,88,Sci-Fi / Mecha Puro,"OLM, WAO World"
Pecola,2003,89,Otros Géneros,Unknown
Spheres,2003,90,Fantasía / Acción / Aventura,Studio Kaab
Wagamama☆Fairy Mirumo de Pon! Golden,2003,91,Fantasía / Acción / Aventura,Studio Hibari
Wonder Bebil-kun,2003,92,Fantasía / Acción / Aventura,Radix
Mugen Senki Portriss,2003,93,Híbrido (Acción + Sci-Fi),Unknown
BLEACH,2004,1,Fantasía / Acción / Aventura,Studio Pierrot
MONSTER,2004,2,Otros Géneros,MADHOUSE
Samurai Champloo,2004,3,Fantasía / Acción / Aventura,Manglobe
Elfen Lied,2004,4,Fantasía / Acción / Aventura,"Arms, A Line"
Mousou Dairinin,2004,5,Otros Géneros,MADHOUSE
BECK,2004,6,Otros Géneros,MADHOUSE
GANTZ,2004,7,Híbrido (Acción + Sci-Fi),GONZO
Gankutsuou,2004,8,Sci-Fi / Mecha Puro,GONZO
School Rumble,2004,9,Otros Géneros,Studio Comet
Initial D FOURTH STAGE,2004,10,Fantasía / Acción / Aventura,A.C.G.T.
Yu☆Gi☆Oh! Duel Monsters GX,2004,11,Fantasía / Acción / Aventura,"Toei Animation, Studio Gallop"
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,2004,12,Híbrido (Acción + Sci-Fi),Production I.G
Genshiken,2004,13,Otros Géneros,Palm Studio
Rozen Maiden,2004,14,Fantasía / Acción / Aventura,Nomad
Midori no Hibi,2004,15,Otros Géneros,Studio Pierrot
Tenjou Tenge,2004,16,Fantasía / Acción / Aventura,MADHOUSE
