title,year,rank_in_year,macro_categoria,animation_studios
Ore Monogatari!!,2015,32,Otros Géneros,MADHOUSE
Gakusen Toshi Asterisk,2015,33,Híbrido (Acción + Sci-Fi),A-1 Pictures
Hibike! Euphonium,2015,34,Otros Géneros,Kyoto Animation
GANGSTA.,2015,35,Fantasía / Acción / Aventura,Manglobe
Rokka no Yuusha,2015,36,Fantasía / Acción / Aventura,Passione
Owarimonogatari,2015,37,Otros Géneros,Shaft
Gakkou Gurashi!,2015,38,Otros Géneros,Lerche
Absolute Duo,2015,39,Fantasía / Acción / Aventura,8-bit
Gintama°,2015,40,Híbrido (Acción + Sci-Fi),Bandai Namco Pictures
GOD EATER,2015,41,Híbrido (Acción + Sci-Fi),"ufotable, ufotable"
Durarara!!x2 Shou,2015,42,Fantasía / Acción / Aventura,Shuka
Kamisama Hajimemashita◎,2015,43,Fantasía / Acción / Aventura,TMS Entertainment
Grisaia no Rakuen,2015,44,Fantasía / Acción / Aventura,8-bit
Durarara!!x2 Ten,2015,45,Fantasía / Acción / Aventura,Shuka
Shinmai Maou no Testament: BURST,2015,46,Fantasía / Acción / Aventura,Production IMS
Arslan Senki (TV),2015,47,Fantasía / Acción / Aventura,"LIDENFILMS, SANZIGEN"
Taimadou Gakuen 35 Shiken Shoutai,2015,48,Fantasía / Acción / Aventura,SILVER LINK.
Shingeki! Kyojin Chuugakkou,2015,49,Fantasía / Acción / Aventura,Production I.G
Seiken Tsukai no World Break,2015,50,Fantasía / Acción / Aventura,diomedéa
Kidou Senshi Gundam: Tekketsu no Orphans,2015,51,Híbrido (Acción + Sci-Fi),Sunrise
"Ore ga Ojou-sama Gakkou ni ""Shomin Sample"" Toshite Gets-Sareta Ken",2015,52,Otros Géneros,SILVER LINK.
K: RETURN OF KINGS,2015,53,Fantasía / Acción / Aventura,GoHands
Jitsu wa Watashi wa,2015,54,Fantasía / Acción / Aventura,TMS Entertainment
Aldnoah.Zero Part 2,2015,55,Híbrido (Acción + Sci-Fi),"A-1 Pictures, TROYCA"
Punch Line,2015,56,Sci-Fi / Mecha Puro,MAPPA
To LOVE-Ru Darkness 2nd,2015,57,Sci-Fi / Mecha Puro,Xebec
Non Non Biyori: Repeat,2015,58,Otros Géneros,SILVER LINK.
Kuusen Madoushi Kouhosei no Kyoukan,2015,59,Fantasía / Acción / Aventura,diomedéa
Kantai Collection: KanColle,2015,60,Híbrido (Acción + Sci-Fi),diomedéa
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,2015,61,Otros Géneros,TROYCA
WORKING!!!,2015,62,Otros Géneros,"A-1 Pictures, Nexus"
Ushio to Tora (TV),2015,63,Fantasía / Acción / Aventura,MAPPA
Joukamachi no Dandelion,2015,64,Otros Géneros,Production IMS
Aoharu x Kikanjuu,2015,65,Fantasía / Acción / Aventura,Brain's Base
Subete ga F ni Naru: THE PERFECT INSIDER,2015,66,Sci-Fi / Mecha Puro,A-1 Pictures
Osomatsu-san,2015,67,Otros Géneros,Studio Pierrot
Pocket Monsters XY&Z,2015,68,Fantasía / Acción / Aventura,OLM
Triage X,2015,69,Fantasía / Acción / Aventura,Xebec
Fate/kaleid liner Prisma☆Illya 2wei Herz!,2015,70,Fantasía / Acción / Aventura,SILVER LINK.
Valkyrie Drive: Mermaid,2015,71,Híbrido (Acción + Sci-Fi),Arms
Gochuumon wa Usagi desu ka??,2015,72,Otros Géneros,"WHITE FOX, Kinema Citrus"
Heavy Object,2015,73,Híbrido (Acción + Sci-Fi),J.C.STAFF
Nagato Yuki-chan no Shoushitsu,2015,74,Otros Géneros,Satelight
Junketsu no Maria,2015,75,Fantasía / Acción / Aventura,Production I.G
Juuou Mujin no Fafnir,2015,76,Fantasía / Acción / Aventura,diomedéa
Denpa Kyoushi,2015,77,Otros Géneros,A-1 Pictures
Yuru Yuri San☆Hai!,2015,78,Otros Géneros,TYO Animations
Yuri Kuma Arashi,2015,79,Fantasía / Acción / Aventura,SILVER LINK.
Diamond no Ace: Second Season,2015,80,Otros Géneros,"Production I.G, MADHOUSE"
Isuca,2015,81,Fantasía / Acción / Aventura,Arms
Classroom☆Crisis,2015,82,Sci-Fi / Mecha Puro,Lay-duce
Ranpo Kitan: Game of Laplace,2015,83,Otros Géneros,Lerche
Rolling☆Girls,2015,84,Híbrido (Acción + Sci-Fi),WIT STUDIO
Concrete Revolutio: Choujin Gensou,2015,85,Híbrido (Acción + Sci-Fi),bones
Dance with Devils,2015,86,Otros Géneros,Brain's Base
SHOW BY ROCK!!,2015,87,Fantasía / Acción / Aventura,bones
THE IDOLM@STER Cinderella Girls,2015,88,Otros Géneros,A-1 Pictures
Utawarerumono: Itsuwari no Kamen,2015,89,Híbrido (Acción + Sci-Fi),WHITE FOX
Chaos Dragon: Sekiryuu Sen'eki,2015,90,Fantasía / Acción / Aventura,"SILVER LINK., CONNECT"
Koufuku Graffiti,2015,91,Otros Géneros,Shaft
Sidonia no Kishi: Daikyuu Wakusei Seneki,2015,92,Híbrido (Acción + Sci-Fi),POLYGON PICTURES
Hidan no Aria AA,2015,93,Fantasía / Acción / Aventura,Doga Kobo
Hello!! Kiniro Mosaic,2015,94,Otros Géneros,"Studio Gokumi, AXsiZ"
Comet Lucifer,2015,95,Híbrido (Acción + Sci-Fi),8-bit
Mikagura Gakuen Kumikyoku,2015,96,Fantasía / Acción / Aventura,Doga Kobo
Junjou Romantica 3,2015,97,Otros Géneros,Studio DEEN
Senki Zesshou Symphogear GX,2015,98,Híbrido (Acción + Sci-Fi),Satelight
Etotama,2015,99,Fantasía / Acción / Aventura,"Shirogumi, Encourage Films"
Young Black Jack,2015,100,Otros Géneros,Tezuka Productions
Boku no Hero Academia,2016,1,Fantasía / Acción / Aventura,bones
Mob Psycho 100,2016,2,Fantasía / Acción / Aventura,bones
Boku dake ga Inai Machi,2016,3,Otros Géneros,A-1 Pictures
Re:Zero kara Hajimeru Isekai Seikatsu,2016,4,Fantasía / Acción / Aventura,WHITE FOX
Kono Subarashii Sekai ni Shukufuku wo!,2016,5,Fantasía / Acción / Aventura,Studio DEEN
Bungou Stray Dogs,2016,6,Fantasía / Acción / Aventura,bones
Ansatsu Kyoushitsu 2nd Season,2016,7,Fantasía / Acción / Aventura,Lerche
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,2016,8,Otros Géneros,Production I.G
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,2016,9,Fantasía / Acción / Aventura,David Production
Shokugeki no Souma: Ni no Sara,2016,10,Otros Géneros,J.C.STAFF
Bungou Stray Dogs 2nd Season,2016,11,Fantasía / Acción / Aventura,bones
orange,2016,12,Otros Géneros,"TMS Entertainment, Telecom Animation Film"
Yuuri!!! on ICE,2016,13,Otros Géneros,MAPPA
3-gatsu no Lion,2016,14,Otros Géneros,Shaft
Kiznaiver,2016,15,Sci-Fi / Mecha Puro,TRIGGER
91Days,2016,16,Fantasía / Acción / Aventura,Shuka
Koutetsujou no Kabaneri,2016,17,Fantasía / Acción / Aventura,WIT STUDIO
Sakamoto desu ga?,2016,18,Otros Géneros,Studio DEEN
Hai to Gensou no Grimgar,2016,19,Fantasía / Acción / Aventura,A-1 Pictures
Nanatsu no Taizai: Seisen no Shirushi,2016,20,Fantasía / Acción / Aventura,A-1 Pictures
Netoge no Yome wa Onnanoko ja Nai to Omotta?,2016,21,Otros Géneros,project No.9
Musaigen no Phantom World,2016,22,Fantasía / Acción / Aventura,"Kyoto Animation, Kyoto Animation"
DRIFTERS,2016,23,Fantasía / Acción / Aventura,Hoods Entertainment
Tanaka-kun wa Itsumo Kedaruge,2016,24,Otros Géneros,SILVER LINK.
"GATE: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",2016,25,Fantasía / Acción / Aventura,A-1 Pictures
Ajin,2016,26,Fantasía / Acción / Aventura,POLYGON PICTURES
NEW GAME!,2016,27,Otros Géneros,Doga Kobo
Sousei no Onmyouji,2016,28,Fantasía / Acción / Aventura,Studio Pierrot
Magi: Sinbad no Bouken,2016,29,Fantasía / Acción / Aventura,Lay-duce
Dagashi Kashi,2016,30,Otros Géneros,feel.
Keijo!!!!!!!!,2016,31,Otros Géneros,Xebec
Watashi ga Motete Dousunda,2016,32,Otros Géneros,Brain's Base
Gakusen Toshi Asterisk 2,2016,33,Híbrido (Acción + Sci-Fi),A-1 Pictures
Saijaku Muhai no Bahamut,2016,34,Híbrido (Acción + Sci-Fi),Lerche
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,2016,35,Híbrido (Acción + Sci-Fi),Lerche
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,2016,36,Híbrido (Acción + Sci-Fi),Lerche
Akagami no Shirayuki-hime 2nd Season,2016,37,Fantasía / Acción / Aventura,bones
Nanbaka,2016,38,Fantasía / Acción / Aventura,Satelight
Amaama to Inazuma,2016,39,Otros Géneros,TMS Entertainment
Shouwa Genroku Rakugo Shinjuu,2016,40,Otros Géneros,Studio DEEN
Hundred,2016,41,Híbrido (Acción + Sci-Fi),Production IMS
Durarara!!x2 Ketsu,2016,42,Fantasía / Acción / Aventura,Shuka
Kono Bijutsu-bu ni wa Mondai ga Aru!,2016,43,Otros Géneros,feel.
Handa-kun,2016,44,Otros Géneros,diomedéa
Hibike! Euphonium 2,2016,45,Otros Géneros,Kyoto Animation
Nejimaki Seirei Senki: Tenkyou no Alderamin,2016,46,Fantasía / Acción / Aventura,MADHOUSE
Flying Witch,2016,47,Otros Géneros,J.C.STAFF
Berserk,2016,48,Fantasía / Acción / Aventura,"Millepensee, LIDENFILMS, Koei"
Tales of Zestiria the Cross,2016,49,Fantasía / Acción / Aventura,"ufotable, ufotable"
Masou Gakuen HxH,2016,50,Híbrido (Acción + Sci-Fi),Production IMS
SERVAMP,2016,51,Fantasía / Acción / Aventura,"Brain's Base, Platinum Vision, Azeta Pictures"
Flip Flappers,2016,52,Híbrido (Acción + Sci-Fi),Studio 3Hz
Taboo Tattoo,2016,53,Fantasía / Acción / Aventura,J.C.STAFF
Dimension W,2016,54,Híbrido (Acción + Sci-Fi),"Studio 3Hz, Orange"
Ajin 2,2016,55,Fantasía / Acción / Aventura,POLYGON PICTURES
Love Live! Sunshine!!,2016,56,Otros Géneros,Sunrise
Big Order,2016,57,Fantasía / Acción / Aventura,Asread
Qualidea Code,2016,58,Fantasía / Acción / Aventura,A-1 Pictures
Mayoiga,2016,59,Otros Géneros,diomedéa
Rewrite,2016,60,Otros Géneros,8-bit
Occultic;Nine,2016,61,Sci-Fi / Mecha Puro,A-1 Pictures
Shuumatsu no Izetta,2016,62,Fantasía / Acción / Aventura,"Ajiado, Asahi Production"
Mahou Shoujo Ikusei Keikaku,2016,63,Fantasía / Acción / Aventura,Lerche
Joker Game,2016,64,Fantasía / Acción / Aventura,Production I.G
Natsume Yuujinchou Go,2016,65,Fantasía / Acción / Aventura,Shuka
"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari!",2016,66,Otros Géneros,A-1 Pictures
Prince of Stride: Alternative,2016,67,Otros Géneros,MADHOUSE
Fune wo Amu,2016,68,Otros Géneros,ZEXCS
Kidou Senshi Gundam: Tekketsu no Orphans 2,2016,69,Híbrido (Acción + Sci-Fi),Sunrise
D.Gray-man HALLOW,2016,70,Fantasía / Acción / Aventura,TMS Entertainment
Fate/kaleid liner Prisma☆Illya 3rei!!,2016,71,Fantasía / Acción / Aventura,SILVER LINK.
Pocket Monsters Sun & Moon,2016,72,Fantasía / Acción / Aventura,OLM
WWW.WORKING!!,2016,73,Otros Géneros,A-1 Pictures
Divine Gate,2016,74,Híbrido (Acción + Sci-Fi),Studio Pierrot
Ao no Kanata no Four Rhythm,2016,75,Sci-Fi / Mecha Puro,"GONZO, DLE"
Kuromukuro,2016,76,Híbrido (Acción + Sci-Fi),P.A.WORKS
Udon no Kuni no Kiniro Kemari,2016,77,Fantasía / Acción / Aventura,LIDENFILMS
DAYS,2016,78,Otros Géneros,MAPPA
High School Fleet,2016,79,Fantasía / Acción / Aventura,Production IMS
Gi(a)rlish Number,2016,80,Otros Géneros,diomedéa
Fukigen na Mononokean,2016,81,Otros Géneros,"Studio Signpost, Studio Pierrot"
Super Lovers,2016,82,Otros Géneros,Studio DEEN
Shoujotachi wa Kouya wo Mezasu,2016,83,Otros Géneros,project No.9
Arslan Senki: Fuujin Ranbu,2016,84,Fantasía / Acción / Aventura,LIDENFILMS
Amanchu!,2016,85,Otros Géneros,"J.C.STAFF, Production I.G"
Schwarzesmarken,2016,86,Híbrido (Acción + Sci-Fi),"LIDENFILMS, SANZIGEN"
"TRICKSTER: Edogawa Ranpo ""Shounen Tantei-dan"" yori",2016,87,Híbrido (Acción + Sci-Fi),"TMS Entertainment, Shin-Ei Animation"
ALL OUT!!,2016,88,Otros Géneros,"MADHOUSE, TMS Entertainment, Telecom Animation Film"
Ushio to Tora 2 (TV),2016,89,Fantasía / Acción / Aventura,MAPPA
Luck & Logic,2016,90,Fantasía / Acción / Aventura,Doga Kobo
Macross Δ,2016,91,Híbrido (Acción + Sci-Fi),Satelight
ViVid Strike!,2016,92,Fantasía / Acción / Aventura,Seven Arcs
Haruchika: Haruta to Chika wa Seishun Suru,2016,93,Otros Géneros,P.A.WORKS
Hatsukoi Monster,2016,94,Otros Géneros,Studio DEEN
Anne Happy♪,2016,95,Otros Géneros,SILVER LINK.
Seisen Cerberus: Ryuukoku no Fatalité,2016,96,Fantasía / Acción / Aventura,Bridge
Touken Ranbu: Hanamaru,2016,97,Fantasía / Acción / Aventura,"Doga Kobo, Green Ooita"
Kuma Miko,2016,98,Otros Géneros,"Kinema Citrus, EMT Squared"
Shounen Maid,2016,99,Otros Géneros,8-bit
Bakuon!!,2016,100,Otros Géneros,TMS Entertainment
Shingeki no Kyojin Season 2,2017,1,Fantasía / Acción / Aventura,"WIT STUDIO, Production I.G"
Boku no Hero Academia 2,2017,2,Fantasía / Acción / Aventura,bones
Black Clover,2017,3,Fantasía / Acción / Aventura,Studio Pierrot
Kakegurui,2017,4,Otros Géneros,MAPPA
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,2017,5,Otros Géneros,Lerche
Made in Abyss,2017,6,Híbrido (Acción + Sci-Fi),Kinema Citrus
Kono Subarashii Sekai ni Shukufuku wo! 2,2017,7,Fantasía / Acción / Aventura,Studio DEEN
Kobayashi-san Chi no Maidragon,2017,8,Fantasía / Acción / Aventura,Kyoto Animation
Youjo Senki,2017,9,Fantasía / Acción / Aventura,NUT
Mahoutsukai no Yome,2017,10,Fantasía / Acción / Aventura,"WIT STUDIO, Production I.G"
Masamune-kun no Revenge,2017,11,Otros Géneros,SILVER LINK.
Shokugeki no Souma: San no Sara,2017,12,Otros Géneros,J.C.STAFF
BORUTO: NARUTO NEXT GENERATIONS,2017,13,Fantasía / Acción / Aventura,Studio Pierrot
Rokudenashi Majutsu Koushi to Akashic Records,2017,14,Fantasía / Acción / Aventura,LIDENFILMS
Eromanga Sensei,2017,15,Otros Géneros,A-1 Pictures
Blend S,2017,16,Otros Géneros,A-1 Pictures
Kuzu no Honkai,2017,17,Otros Géneros,Lerche
Ao no Exorcist: Kyoto Fujouou-hen,2017,18,Fantasía / Acción / Aventura,A-1 Pictures
Inuyashiki,2017,19,Híbrido (Acción + Sci-Fi),MAPPA
Gamers!,2017,20,Otros Géneros,PINE JAM
Little Witch Academia (TV),2017,21,Fantasía / Acción / Aventura,TRIGGER
Houseki no Kuni,2017,22,Fantasía / Acción / Aventura,Orange
Tsuki ga Kirei,2017,23,Otros Géneros,feel.
Isekai wa Smartphone to Tomo ni.,2017,24,Fantasía / Acción / Aventura,Ashi Productions
Hajimete no Gal,2017,25,Otros Géneros,NAZ
Re:CREATORS,2017,26,Híbrido (Acción + Sci-Fi),TROYCA
Net-juu no Susume,2017,27,Fantasía / Acción / Aventura,Signal.MD
Shoujo Shuumatsu Ryokou,2017,28,Híbrido (Acción + Sci-Fi),WHITE FOX
Fate/Apocrypha,2017,29,Fantasía / Acción / Aventura,A-1 Pictures
3-gatsu no Lion 2nd Season,2017,30,Otros Géneros,Shaft
Gabriel Dropout,2017,31,Otros Géneros,Doga Kobo
Owarimonogatari (Ge),2017,32,Otros Géneros,Shaft
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,2017,33,Fantasía / Acción / Aventura,"Satelight, C2C"
Koi to Uso,2017,34,Otros Géneros,LIDENFILMS
Kekkai Sensen & BEYOND,2017,35,Fantasía / Acción / Aventura,bones
Saenai Heroine no Sodatekata ♭,2017,36,Otros Géneros,A-1 Pictures
Demi-chan wa Kataritai,2017,37,Otros Géneros,A-1 Pictures
Imouto sae Ireba Ii.,2017,38,Otros Géneros,SILVER LINK.
Busou Shoujo Machiavellianism,2017,39,Fantasía / Acción / Aventura,SILVER LINK.
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,2017,40,Fantasía / Acción / Aventura,J.C.STAFF
Renai Boukun,2017,41,Otros Géneros,EMT Squared
Ballroom e Youkoso,2017,42,Otros Géneros,Production I.G
Just Because!,2017,43,Otros Géneros,PINE JAM
Gintama.,2017,44,Híbrido (Acción + Sci-Fi),Bandai Namco Pictures
Isekai Shokudou,2017,45,Fantasía / Acción / Aventura,SILVER LINK.
NEW GAME!!,2017,46,Otros Géneros,Doga Kobo
Juuni Taisen,2017,47,Fantasía / Acción / Aventura,Graphinica
Boku no Kanojo ga Majime Sugiru Shoujo Bitch na Ken,2017,48,Otros Géneros,"diomedéa, Studio Blanc"
Kujira no Kora wa Sajou ni Utau,2017,49,Híbrido (Acción + Sci-Fi),"J.C.STAFF, Studio Pastoral"
Princess Principal,2017,50,Híbrido (Acción + Sci-Fi),"Studio 3Hz, Actas"
Knight's & Magic,2017,51,Híbrido (Acción + Sci-Fi),8-bit
Zero kara Hajimeru Mahou no Sho,2017,52,Fantasía / Acción / Aventura,WHITE FOX
Fuuka,2017,53,Otros Géneros,diomedéa
Himouto! Umaru-chan R,2017,54,Otros Géneros,Doga Kobo
Itsudatte Bokura no Koi wa 10 cm Datta.,2017,55,Otros Géneros,Lay-duce
Ousama Game The Animation,2017,56,Otros Géneros,Seven
Seiren,2017,57,Otros Géneros,"Studio Gokumi, AXsiZ"
Keppeki Danshi! Aoyama-kun,2017,58,Otros Géneros,Studio Hibari
UQ Holder!: Mahou Sensei Negima! 2,2017,59,Híbrido (Acción + Sci-Fi),"J.C.STAFF, EGG FIRM, TYO Animations"
Tsugumomo,2017,60,Fantasía / Acción / Aventura,Zero-G
Kino no Tabi -the Beautiful World- the Animated Series,2017,61,Fantasía / Acción / Aventura,"Lerche, EGG FIRM"
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,2017,62,Otros Géneros,Studio DEEN
Shingeki no Bahamut: VIRGIN SOUL,2017,63,Fantasía / Acción / Aventura,MAPPA
Gintama.: Porori-hen,2017,64,Híbrido (Acción + Sci-Fi),Bandai Namco Pictures
ACCA: 13-ku Kansatsu-ka,2017,65,Otros Géneros,MADHOUSE
Sakura Quest,2017,66,Otros Géneros,P.A.WORKS
GRANBLUE FANTASY The Animation,2017,67,Fantasía / Acción / Aventura,A-1 Pictures
Hitorijime My Hero,2017,68,Otros Géneros,Encourage Films
Konohana Kitan,2017,69,Otros Géneros,Lerche
sin: Nanatsu no Taizai,2017,70,Fantasía / Acción / Aventura,"Artland, TNK"
Berserk 2,2017,71,Fantasía / Acción / Aventura,"Millepensee, LIDENFILMS, Koei"
Clockwork Planet,2017,72,Híbrido (Acción + Sci-Fi),Xebec
Natsume Yuujinchou Roku,2017,73,Fantasía / Acción / Aventura,Shuka
BanG Dream!,2017,74,Otros Géneros,"Xebec, Issen"
Love Live! Sunshine!! 2nd Season,2017,75,Otros Géneros,Sunrise
Sagrada Reset,2017,76,Híbrido (Acción + Sci-Fi),David Production
Urara Meirochou,2017,77,Fantasía / Acción / Aventura,J.C.STAFF
Akiba's Trip: The Animation,2017,78,Fantasía / Acción / Aventura,"GONZO, DLE, GONZO"
Tales of Zestiria the Cross 2,2017,79,Fantasía / Acción / Aventura,"ufotable, ufotable"
Oushitsu Kyoushi Heine,2017,80,Otros Géneros,Bridge
Dies irae,2017,81,Fantasía / Acción / Aventura,A.C.G.T.
Hinako Note,2017,82,Otros Géneros,Passione
Fukumenkei Noise,2017,83,Otros Géneros,Brain's Base
Katsugeki Touken Ranbu,2017,84,Fantasía / Acción / Aventura,ufotable
ChäoS;Child,2017,85,Sci-Fi / Mecha Puro,SILVER LINK.
Alice to Zouroku,2017,86,Híbrido (Acción + Sci-Fi),J.C.STAFF
Chain Chronicle: Haecceitas no Hikari,2017,87,Fantasía / Acción / Aventura,"Telecom Animation Film, Graphinica"
Konbini Kareshi,2017,88,Otros Géneros,Studio Pierrot
Kemono Friends,2017,89,Fantasía / Acción / Aventura,Unknown
Hand Shakers,2017,90,Fantasía / Acción / Aventura,GoHands
Rewrite 2nd Season,2017,91,Fantasía / Acción / Aventura,8-bit
Seikaisuru Kado,2017,92,Sci-Fi / Mecha Puro,Toei Animation
Centaur no Nayami,2017,93,Fantasía / Acción / Aventura,Haoliners Animation
Anime-Gataris,2017,94,Otros Géneros,WAO World
Nana Maru San Batsu,2017,95,Otros Géneros,TMS Entertainment
Code:Realize: Sousei no Himegimi,2017,96,Fantasía / Acción / Aventura,M.S.C
Shoukoku no Altair,2017,97,Fantasía / Acción / Aventura,MAPPA
Uchouten Kazoku 2,2017,98,Fantasía / Acción / Aventura,P.A.WORKS
GARO -VANISHING LINE-,2017,99,Fantasía / Acción / Aventura,MAPPA
Tenshi no 3P!,2017,100,Otros Géneros,project No.9
Shingeki no Kyojin Season 3,2018,1,Fantasía / Acción / Aventura,"WIT STUDIO, Production I.G"
Boku no Hero Academia 3,2018,2,Fantasía / Acción / Aventura,bones
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,2018,3,Otros Géneros,CloverWorks
Violet Evergarden,2018,4,Fantasía / Acción / Aventura,Kyoto Animation
Darling in the Franxx,2018,5,Híbrido (Acción + Sci-Fi),"TRIGGER, CloverWorks, A-1 Pictures"
Tensei Shitara Slime Datta Ken,2018,6,Fantasía / Acción / Aventura,"8-bit, Bandai Namco Pictures"
Wotaku ni Koi wa Muzukashii,2018,7,Otros Géneros,A-1 Pictures
BANANA FISH,2018,8,Fantasía / Acción / Aventura,MAPPA
Tokyo Ghoul:re,2018,9,Fantasía / Acción / Aventura,"Studio Pierrot, Studio Pierrot"
Goblin Slayer,2018,10,Fantasía / Acción / Aventura,WHITE FOX
JoJo no Kimyou na Bouken: Ougon no Kaze,2018,11,Fantasía / Acción / Aventura,David Production
Nanatsu no Taizai: Imashime no Fukkatsu,2018,12,Fantasía / Acción / Aventura,A-1 Pictures
Sword Art Online: Alicization,2018,13,Fantasía / Acción / Aventura,A-1 Pictures
Overlord II,2018,14,Fantasía / Acción / Aventura,MADHOUSE
Overlord III,2018,15,Fantasía / Acción / Aventura,MADHOUSE
Tokyo Ghoul:re 2,2018,16,Fantasía / Acción / Aventura,"Studio Pierrot, Studio Pierrot"
Grand Blue,2018,17,Otros Géneros,Zero-G
Steins;Gate 0,2018,18,Sci-Fi / Mecha Puro,WHITE FOX
Satsuriku no Tenshi,2018,19,Fantasía / Acción / Aventura,J.C.STAFF
Hataraku Saibou,2018,20,Híbrido (Acción + Sci-Fi),David Production
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,2018,21,Fantasía / Acción / Aventura,Ajiado
Saiki Kusuo no Ψ-nan 2,2018,22,Otros Géneros,"J.C.STAFF, EGG FIRM"
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,2018,23,Otros Géneros,J.C.STAFF
Karakai Jouzu no Takagi-san,2018,24,Otros Géneros,Shin-Ei Animation
Sora yori mo Tooi Basho,2018,25,Fantasía / Acción / Aventura,MADHOUSE
Yuru Camp△,2018,26,Otros Géneros,C-Station
Sword Art Online Alternative: Gun Gale Online,2018,27,Híbrido (Acción + Sci-Fi),"Studio 3Hz, EGG FIRM"
Zombie Land Saga,2018,28,Otros Géneros,MAPPA
Hinamatsuri,2018,29,Sci-Fi / Mecha Puro,feel.
Asobi Asobase,2018,30,Otros Géneros,Lerche
citrus,2018,31,Otros Géneros,"Passione, Graphinica"
FAIRY TAIL (2018),2018,32,Fantasía / Acción / Aventura,"A-1 Pictures, Bridge, CloverWorks"
Megalo Box,2018,33,Híbrido (Acción + Sci-Fi),TMS Entertainment
Yagate Kimi ni Naru,2018,34,Otros Géneros,TROYCA
Golden Kamuy,2018,35,Fantasía / Acción / Aventura,Geno Studio
High School DxD HERO,2018,36,Fantasía / Acción / Aventura,Passione
Death March Kara Hajimaru Isekai Kyousoukyoku,2018,37,Fantasía / Acción / Aventura,SILVER LINK.
Kishuku Gakkou no Juliet,2018,38,Otros Géneros,LIDENFILMS
SSSS.GRIDMAN,2018,39,Híbrido (Acción + Sci-Fi),"TRIGGER, Tsuburaya Productions, Graphinica"
Gakuen Babysitters,2018,40,Otros Géneros,Brain's Base
Happy Sugar Life,2018,41,Otros Géneros,Studio Blanc
Irozuku Sekai no Ashita kara,2018,42,Otros Géneros,P.A.WORKS
Kaze ga Tsuyoku Fuiteiru,2018,43,Otros Géneros,Production I.G
Koi wa Ameagari no You ni,2018,44,Otros Géneros,WIT STUDIO
3D Kanojo: Real Girl,2018,45,Otros Géneros,Hoods Entertainment
Tada-kun wa Koi wo Shinai,2018,46,Otros Géneros,Doga Kobo
Uma Musume: Pretty Derby,2018,47,Otros Géneros,"P.A.WORKS, CygamesPictures"
Yuragi-sou no Yuuna-san,2018,48,Otros Géneros,Xebec
Devils' Line,2018,49,Fantasía / Acción / Aventura,Platinum Vision
Grancrest Senki,2018,50,Fantasía / Acción / Aventura,A-1 Pictures
PERSONA5 the Animation,2018,51,Fantasía / Acción / Aventura,CloverWorks
Mahou Shoujo Site,2018,52,Fantasía / Acción / Aventura,Unknown
Toaru Majutsu no Index III,2018,53,Híbrido (Acción + Sci-Fi),J.C.STAFF
Hi Score Girl,2018,54,Otros Géneros,"J.C.STAFF, Tengu Kobou"
Tenrou: Sirius the Jaeger,2018,55,Fantasía / Acción / Aventura,P.A.WORKS
Poputepipikku,2018,56,Otros Géneros,Kamikaze Douga
Radiant,2018,57,Fantasía / Acción / Aventura,Lerche
Golden Kamuy 2nd Season,2018,58,Fantasía / Acción / Aventura,Geno Studio
Fate/EXTRA Last Encore,2018,59,Fantasía / Acción / Aventura,Shaft
Tsurune: Kazemai Koukou Kyuudou-bu,2018,60,Otros Géneros,Kyoto Animation
Gintama.: Shirogane no Tamashii-hen,2018,61,Híbrido (Acción + Sci-Fi),Bandai Namco Pictures
Free!: Dive to the Future,2018,62,Otros Géneros,Kyoto Animation
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,2018,63,Híbrido (Acción + Sci-Fi),Bandai Namco Pictures
Itou Junji: Collection,2018,64,Otros Géneros,Studio DEEN
Ryuuou no Oshigoto!,2018,65,Otros Géneros,project No.9
Hyakuren no Haou to Seiyaku no Valkyria,2018,66,Fantasía / Acción / Aventura,EMT Squared
Kokkoku,2018,67,Fantasía / Acción / Aventura,Geno Studio
Shoujo☆Kageki Revue Starlight,2018,68,Fantasía / Acción / Aventura,Kinema Citrus
Comic Girls,2018,69,Otros Géneros,Nexus
Kakuriyo no Yadomeshi,2018,70,Otros Géneros,GONZO
Hanebado!,2018,71,Otros Géneros,LIDENFILMS
Killing Bites,2018,72,Híbrido (Acción + Sci-Fi),LIDENFILMS
FLCL Progressive,2018,73,Híbrido (Acción + Sci-Fi),"Production I.G, Signal.MD"
Sunoharasou no Kanrinin-san,2018,74,Otros Géneros,SILVER LINK.
